"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"TG(60:3)","TG(20:1(11Z)/20:1(11Z)/20:1(11Z))","HMDB0005464","9545117","C00422","CCCCCCCC/C=C\CCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC","1"
"1-O-eicosanoyl-Cer(d18:1/16:0)","NA","NA","NA","NA","NA","0"
"3-hydroxyeicosanoylcarnitine","NA","NA","NA","NA","NA","0"
"Cervonyl carnitine","Cervonyl carnitine","HMDB0006510","53477842",NA,"CC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"3-hydroxylinoleoylcarnitine","NA","NA","NA","NA","NA","0"
"CE(22:4)","CE(22:4(7Z,10Z,13Z,16Z))","HMDB0006729","16061341","C02530","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C","1"
"20:3 Stigmasteryl ester","NA","NA","NA","NA","NA","0"
"Cer(d18:0/18:0(2OH))","NA","NA","NA","NA","NA","0"
"Cer(d18:0/26:0)","Cer(d18:0/26:0)","HMDB0011771","644245",NA,"CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](CCCCCCCCCCCCCCC)O","1"
"Cer(d18:0/h26:0)","NA","NA","NA","NA","NA","0"
"CerP(d18:1/24:0)","CerP(d18:1/24:0)","HMDB0010704","5283587",NA,"CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)(O)O)[C@@H](/C=C/CCCCCCCCCCCCC)O","1"
"CerP(d18:1/24:1(15Z))","CerP(d18:1/24:1(15Z))","HMDB0010705","5283586",NA,"CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)(O)O)NC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)O","1"
"FA(14:1)","NA","NA","NA","NA","NA","0"
"FA(20:5)","NA","NA","NA","NA","NA","0"
"FA(22:1)","NA","NA","NA","NA","NA","0"
"FA(22:5)","NA","NA","NA","NA","NA","0"
"Hexacosanoyl carnitine","Hexacosanoyl carnitine","HMDB0006347","53477828",NA,"CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"LPG(18:0)","NA","NA","NA","NA","NA","0"
"PG(18:0)_2","NA","NA","NA","NA","NA","0"
"LPI(19:0)","NA","NA","NA","NA","NA","0"
"Palmitoylcarnitine","L-Palmitoylcarnitine","HMDB0000222","11953816","C02990","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"(5Z)-13-carboxytridec-5-enoylcarnitine","NA","NA","NA","NA","NA","0"
"PC(36:7)","PC(14:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0007925","52922298","C00157","CCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(36:8)","PC(18:4(6Z,9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z))","HMDB0008240","52922911","C00157","CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(38:0)","PC(14:0/24:0)","HMDB0007893","24778642","C00157","CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(38:1)","PC(14:0/24:1(15Z))","HMDB0007894","24778643","C00157","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC","1"
"PC(38:2)","PC(14:1(9Z)/24:1(15Z))","HMDB0007927","53478637","C00157","CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(38:6)","PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0007991","6441886","C00157","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"PC(O-36:0)","PC(o-16:0/20:0)","HMDB0013406","24779297",NA,"CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(O-36:1)","PC(o-16:1(9Z)/20:0)","HMDB0013414","53481711",NA,"CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COCCCCCCCC/C=C\CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
