lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,AK0141,AK0145,AK0164,AK0174,AK0175,AK0144,AK0147,AK0154,AK0155,AK0166,AK0168,AK0139,AK0161,AK0170,AK0200,AK0202,AK0204,AK0135,AK0140,AK0142,AK0157,AK0169,Blank-1x
LPG(18:3) | PG(18:3),-0.108829241,7.79648965,0.110058283,0.740077791,0.951801076,11,11,WT,5xFAD,PG,440712.4247,237095.8199,358090.4727,325747.0221,184146.4553,146245.1091,118013.108,94504.68689,185387.9347,141234.4896,178630.1701,1088027.901,1754790.622,2076623.938,1823067.87,1262300.263,1802754.645,1492482.074,1109346.66,1094271.297,1097616.517,1309464.657,79696.88586
LPI(20:3) | PI(20:3),0.110071556,6.834761025,0.112065221,0.737805051,0.951801076,11,11,WT,5xFAD,PI,103791.869,211295.3138,200256.8969,235735.4563,38485.14288,52138.90347,101481.6271,100037.6068,121985.0068,44620.42303,63410.96383,9576.280746,11553.7407,9364.300659,9770.480629,13974.92096,7778.020607,11505.72074,5084.560345,5478.260403,5737.960419,6535.820446,26428.14189
LPI(22:1) | PI(22:1),0.111132736,7.525269855,0.114236201,0.735371883,0.951801076,11,11,WT,5xFAD,PI,92196.44754,381028.7688,342196.2982,422219.8365,66644.46529,59710.08426,187612.9169,184886.9922,243899.4343,46501.60368,72841.74574,468234.0548,319606.7037,236656.3777,378816.427,276510.9172,335473.244,304900.9996,196603.7327,205644.3956,179212.8724,397959.7515,30714.20215
PE(18:2),-0.109091211,7.045567322,0.110586962,0.739476875,0.951801076,11,11,WT,5xFAD,PE,254582.3378,195736.4109,136195.5312,233351.035,158699.1102,64867.8644,109396.0086,90318.64728,145299.1132,59466.70339,69893.48434,3864411.223,3347413.941,3614280.521,3292836.093,1910104.718,3132466.008,2586859.558,2430613.176,1581126.842,1119536.151,2253758.465,26326.96196
PE(30:4),0.11012285,6.236507153,0.112165267,0.737692349,0.951801076,11,11,WT,5xFAD,PE,130676.3089,114819.4276,42219.12327,121876.8889,80525.06549,28329.32198,73369.68561,70921.38489,72075.94568,17496.58125,45382.82398,576374.2414,590152.6388,420916.7904,549119.5474,361913.765,486896.0156,431830.5363,242108.9747,215290.0794,215423.1962,492477.4963,21546.34146
PE(32:5),0.110530939,6.47391488,0.112998498,0.736755876,0.951801076,11,11,WT,5xFAD,PE,151995.6902,136240.4119,58632.60416,126973.3085,96312.08667,35424.36241,77673.36523,91291.70593,85753.02618,25380.26187,38558.30267,130324.5079,253968.2105,214125.7972,217968.8945,74449.90529,188396.1514,152286.4712,110731.2281,96086.70648,109283.2481,64036.9848,27067.94205
PG(40:9),0.11193685,7.683430107,0.11589346,0.733531761,0.951801076,11,11,WT,5xFAD,PG,414467.4698,237291.6985,321412.4016,238805.8353,215575.4574,142610.2686,129167.2306,140395.2713,160329.2116,162039.034,193329.615,141985.0924,160394.8124,136284.8903,157477.7321,114289.4084,146033.531,126081.9492,100745.3268,93039.52625,93719.80579,116170.6896,37113.20276
PI(30:2),0.109592768,7.195539449,0.111095256,0.738900631,0.951801076,11,11,WT,5xFAD,PI,89676.76645,344010.5294,254444.1173,277075.2201,60748.84427,47288.48334,131417.9119,194998.8913,156343.8519,34750.9424,42494.04317,288430.9589,269488.001,216345.8551,269021.8235,178010.1522,261701.08,229117.5581,158454.1524,142669.7093,134614.6876,270560.7595,26717.40183
PS(42:0),-0.110759951,7.341218044,0.114000512,0.735634782,0.951801076,11,11,WT,5xFAD,PS,361146.8849,202261.6343,255528.999,235544.0549,160396.6907,98820.28693,92760.28717,91004.12701,125600.6483,114478.0879,154044.4717,308308.4252,283806.8745,232158.778,291671.2802,188558.4924,281270.6597,248514.2219,165724.4308,152282.9115,144812.1706,288963.4232,34953.94226
PS(44:0),-0.110399384,7.33905354,0.1132589,0.736463998,0.951801076,11,11,WT,5xFAD,PS,281717.4384,249093.3613,193186.4547,320149.4658,177967.0937,102331.0885,87762.22598,89907.20544,118877.4881,133261.1694,161585.8724,151032.751,266874.5178,230138.799,256673.6164,92991.78645,255277.9346,193447.475,120677.9683,107354.4688,113686.2276,96671.52736,27669.40207
